Source,Target,Weight
Avery Brown,Jordan Rodriguez,0
Avery Brown,Jamie Rodriguez,0
Avery Brown,Quinn Davis,0
Avery Brown,Peyton Jones,0
Avery Brown,Peyton Jones,0
Avery Brown,Jordan Williams,0
Avery Brown,Morgan Davis,0
Avery Martinez,Alex Rodriguez,0
Avery Martinez,Quinn Smith,0
Avery Martinez,Avery Brown,0.003904624
Avery Martinez,Morgan Rodriguez,0
Avery Martinez,Morgan Jones,0
Avery Martinez,Avery Martinez,0
Avery Martinez,Jamie Rodriguez,0.002342819
Avery Martinez,Quinn Rodriguez,0
Avery Martinez,Morgan Johnson,0.003173261
Avery Martinez,Taylor Garcia,0
Avery Martinez,Riley Martinez,0
Jordan Miller,Jordan Miller,0
Jordan Miller,Taylor Johnson,0
Jordan Miller,Morgan Smith,0
Jordan Miller,Jamie Davis,0.003904624
Jordan Miller,Morgan Davis,0
Jordan Miller,Taylor Garcia,0
Jordan Miller,Quinn Rodriguez,0.003346804
Jordan Miller,Jordan Johnson,0
Jordan Miller,Jordan Brown,0.002129752
Jordan Miller,Jamie Rodriguez,0
Jordan Miller,Morgan Williams,0
Jordan Miller,Jordan Smith,0
Jordan Miller,Morgan Miller,0.00137812
Jordan Miller,Quinn Davis,0
Jordan Miller,Alex Martinez,0
Jordan Miller,Peyton Johnson,0
Casey Johnson,Jordan Smith,0.022249991
Casey Johnson,Taylor Garcia,0.02056319
Casey Johnson,Quinn Garcia,0.022249991
Casey Johnson,Morgan Garcia,0.025297651
Casey Johnson,Quinn Rodriguez,0.020591354
Casey Johnson,Avery Rodriguez,0.020581247
Casey Johnson,Alex Miller,0.020615306
Casey Johnson,Jordan Brown,0.020591354
Casey Johnson,Avery Smith,0.02060141
Casey Johnson,Quinn Williams,0.020571794
Casey Johnson,Peyton Martinez,0.020576395
Quinn Garcia,Riley Martinez,0
Quinn Garcia,Taylor Rodriguez,0
Quinn Garcia,Taylor Williams,0
Quinn Garcia,Riley Johnson,0
Quinn Garcia,Alex Smith,0
Quinn Garcia,Riley Williams,0
Quinn Garcia,Quinn Johnson,0
Quinn Garcia,Peyton Johnson,0
Quinn Garcia,Quinn Jones,0
Quinn Garcia,Riley Davis,0
Quinn Garcia,Peyton Johnson,0
Quinn Garcia,Riley Johnson,0
Quinn Garcia,Morgan Davis,0
Quinn Garcia,Quinn Williams,0
Quinn Garcia,Casey Rodriguez,0.001802153
Quinn Garcia,Casey Martinez,0.002799969
Quinn Garcia,Avery Davis,0
Peyton Smith,Quinn Williams,0.011713863
Peyton Smith,Peyton Johnson,0
Peyton Smith,Riley Johnson,0
Peyton Smith,Casey Miller,0
Peyton Smith,Avery Brown,0.003904624
Peyton Smith,Alex Garcia,0
Peyton Smith,Quinn Johnson,0
Peyton Smith,Peyton Miller,0
Peyton Smith,Quinn Jones,0
Peyton Smith,Casey Miller,0
Peyton Smith,Avery Rodriguez,0.002342819
Peyton Smith,Quinn Rodriguez,0
Peyton Smith,Jordan Davis,0
Peyton Smith,Taylor Martinez,0.002974918
Peyton Smith,Riley Miller,0
Peyton Smith,Morgan Jones,0.003966602
Avery Jones,Jordan Smith,0.011713863
Avery Jones,Peyton Jones,0
Avery Jones,Alex Smith,0
Avery Jones,Riley Smith,0
Avery Jones,Alex Davis,0
Avery Jones,Jamie Martinez,0
Avery Jones,Jordan Garcia,0.002342819
Avery Jones,Jamie Jones,0
Avery Jones,Riley Miller,0
Avery Jones,Jordan Johnson,0.005949861
Avery Jones,Jamie Miller,0
Avery Jones,Jordan Johnson,0
Peyton Miller,Quinn Davis,0
Peyton Miller,Avery Garcia,0
Peyton Miller,Casey Garcia,0.003346804
Peyton Miller,Peyton Williams,0
Peyton Miller,Taylor Garcia,0.003346804
Peyton Miller,Alex Martinez,0
Peyton Miller,Peyton Miller,0
Peyton Miller,Jordan Rodriguez,0
Peyton Miller,Taylor Davis,0
Peyton Miller,Taylor Garcia,0
Peyton Miller,Casey Miller,0
Peyton Miller,Alex Davis,0
Peyton Miller,Taylor Martinez,0.002129752
Peyton Miller,Jordan Davis,0
Peyton Miller,Quinn Brown,0
Peyton Miller,Quinn Williams,0
Peyton Miller,Morgan Miller,0.00137812
Peyton Miller,Morgan Jones,0.003966602
Peyton Miller,Jamie Rodriguez,0
Casey Martinez,Riley Jones,0
Casey Martinez,Quinn Miller,0
Casey Martinez,Morgan Brown,0
Casey Martinez,Quinn Davis,0
Casey Martinez,Taylor Smith,0
Casey Martinez,Riley Rodriguez,0
Casey Martinez,Casey Miller,0
Casey Martinez,Jamie Jones,0
Casey Martinez,Jamie Johnson,0
Casey Martinez,Peyton Johnson,0
Casey Martinez,Jamie Rodriguez,0
Casey Martinez,Alex Davis,0
Casey Martinez,Morgan Davis,0
Casey Martinez,Riley Brown,0
Jamie Martinez,Avery Miller,0
Jamie Martinez,Alex Jones,0
Jamie Martinez,Peyton Williams,0
Jamie Martinez,Avery Williams,0
Jamie Martinez,Jamie Rodriguez,0
Jamie Martinez,Jamie Rodriguez,0
Jamie Martinez,Alex Davis,0
Jamie Martinez,Riley Garcia,0
Jamie Martinez,Taylor Brown,0.001802153
Jamie Martinez,Jordan Johnson,0
Riley Jones,Morgan Williams,0
Riley Jones,Quinn Miller,0
Riley Jones,Alex Smith,0
Riley Jones,Jordan Garcia,0.002342819
Riley Jones,Avery Miller,0
Riley Jones,Morgan Martinez,0
Riley Jones,Riley Garcia,0
Riley Jones,Alex Brown,0
