source,target,weight
Courtney Graham,Janie Anderson,0.17865987
Sara Griffin,Lakeisha New,0.30962628
Roy Cross,Ethel Long,0.170851
Tanika South,Idell Collado,0.2220348
Nancy Watson,Lynette Vega,0.22921447
Pat Roberson,Deandre Lacey,0.16287135
Julia Hall,Julie Henderson,0.36369282
Ramona Newman,Britta Shannon,0.22168918
Brett Webster,Maris Hayden,0.2656352
Angela Garcia,Lori King,0.095920086
Al Bailey,Hsiu Alcorn,0.064863585
Richard Hernandez,Xochitl Runyon,0.096943796
Ann Cook,Gerard Clark,0.109461516
Minnie Munoz,Pat Marshall,0.19755556
Martha Kelly,Arthur Turner,0.13912062
Brenda Jackson,Lorene Casey,0.19695242
Geri Minor,Idell Collado,0.16096216
Lisa Ramirez,Zena Whitehead,0.15001506
Glenda Myers,Christin Patino,0.100420475
Beverly Taylor,Julia Cummings,0.09254823
Matthew Price,Whitney Simon,0.19777298
Henry Campbell,Timmy Garner,0.14989808
Fred Hill,Anne Nash,0.05081115
Pete Perez,Branda Moon,0.15868698
John Diaz,Bethany Underwood,0.504507
Jack Hughes,Angelica Blake,0.21437398
Benny Terry,Al Bailey,0.07615105
Krystle Hardin,Kerrie Croft,0.098692656
Joe White,Demetrius Forbes,0.26781744
Jeffrey Clark,Jennifer Brown,0.10821596
Shawn Harris,Joe Alexander,0.14984123
Rita Sherman,Juanita Mathis,0.30788136
Craig Brooks,Stuart Dixon,0.16955402
Kathrin Himes,Ping Curtin,0.2088293
Doyle Morales,Delia Townsend,0.2989257
Octavio Mclendon,Taina Tubbs,0.103886336
Ralph Bailey,Luke Sharp,0.4711187
Agnes Thomas,Vivian Kelley,0.07159874
Delia Townsend,Suzanne Simon,0.15310441
Kelley Martinez,Lana Paul,0.17431049
Julie Henderson,Nicole Kelly,0.41350108
Phillip Russell,Ramona Fowler,0.16973725
Claire Hardy,Myra Mcdaniel,0.23755746
Ervin Mccormick,Ollie Ball,0.16725683
Stephen Lee,Gladys Nunez,0.1159291
Rose Smith,Patrick Kim,0.17893639
Judy Clark,Whitney Simon,0.13932922
Gregory Wright,Clifford Porter,0.1490578
Allison Jennings,Allan Sullivan,0.090008214
Doris Hamilton,Jean Cannon,0.13613155
Louis Campbell,Mark Harris,0.15842547
Willie Young,Lori Watkins,0.3900329
Lady Mccaskill,Jerrell Mcmurray,0.13276286
Marcos Guzman,Corina Towns,0.11767362
Marty Rivera,Edelmira Tillman,0.120035544
Virginia Holt,Lucy Walsh,0.18019333
Ann Cook,Saul Crawford,0.15325688
Wm Ballard,Anita Barton,0.07122701
Philip Torres,Lana Mack,0.17582807
Tiffany Arnold,Dave Lawrence,0.15841918
Brenda Patterson,Thad Judd,0.22444637
Mary Williams,Miguel Klein,0.07237261
Donna Powell,Myra Mcdaniel,0.07830172
Abraham Daniels,Lynne Rice,0.10777888
Brenda Gonzalez,Toni Simon,0.093441255
Ralph Cook,Rodney Burke,0.34145737
Charissa Mcgowan,Katrice Strunk,0.18871997
Carl Ramirez,Sara Griffin,0.16147539
Mary Martin,Tina Gross,0.2721311
Howard Young,Tammy Robinson,0.28545427
Kevin Morgan,Caroline Davis,0.047619842
Juan Santos,Hattie May,0.17221873
