source,target,weight
Tina Murphy,Susan Ramirez,0.19592421
Tina Murphy,Margaret Griffin,0.2370337
Tina Murphy,Anne Nash,0.13909805
Tina Murphy,Jaime Collier,0.16344313
Tina Murphy,Piedad Southerland,0.13633828
Linda Martinez,Joshua Peterson,0.36835188
Linda Martinez,Sarah Russell,0.2825791
Linda Martinez,Margaret Griffin,0.27460063
Linda Martinez,Jaime Collier,0.24108283
Betty Hughes,Jasmine Burke,0.1582183
Joshua Peterson,Susan Ramirez,0.42145374
Joshua Peterson,Larry Phillips,0.5335065
Joshua Peterson,Tricia Mcgee,0.36186036
Joshua Peterson,Freda Hardy,0.5831222
Joshua Peterson,Thao Montero,0.43389967
Joshua Peterson,Aleshia Barham,0.34133318
Joshua Peterson,Nickie Laflamme,0.39135355
Anthony Edwards,Travis Saunders,0.41006815
Anthony Edwards,Clifford Porter,0.22594456
Anthony Edwards,Pansy Boyle,0.2938973
Anthony Edwards,Audrea Belanger,0.24251463
Anthony Edwards,Maire Woodall,0.36031425
Paula Long,Bruce Flores,0.20814878
Paula Long,Lyle Yates,0.28840563
Paula Long,Piedad Southerland,0.3177549
Brian Hughes,Annemarie Villa,0.5104615
Brian Hughes,Brittny Fanning,0.49666843
Marie Collins,Bonnie Gray,0.37160927
Marie Collins,Judy Stewart,0.32826042
Marie Collins,Steven Jenkins,0.13055588
Marie Collins,Anne Nash,0.22941671
Marie Collins,Jasmine Burke,0.3711703
Marie Collins,Edison Boothe,0.190967
Eugene Turner,Diane Lopez,0.30206135
Eugene Turner,Ellen Huff,0.42779943
Eugene Turner,Brittany Silva,0.4152109
Andrew Henderson,Albert Peterson,0.24114299
Andrew Henderson,Sarah Russell,0.2751823
Andrew Henderson,Jasmine Burke,0.41110685
Albert Peterson,Lauren Harper,0.6434763
Diane Lopez,Gary Cooper,0.51870763
Diane Lopez,Judy Stewart,0.34597293
Diane Lopez,Freda Hardy,0.4146802
Diane Lopez,Pilar Crowell,0.36202794
Beverly Morgan,Jill Greene,0.24135849
Beverly Morgan,Annemarie Villa,0.18630861
Beverly Morgan,Thao Montero,0.37537074
Beverly Morgan,Idell Collado,0.19555373
Sarah Russell,Desiree Brock,0.30446136
Sarah Russell,Ricky Lindsey,0.5039227
Sarah Russell,Ellen Bishop,0.29173335
Sarah Russell,Freda Hardy,0.6346879
Sarah Russell,Pilar Crowell,0.46522576
Teresa Murphy,Steven Jenkins,0.27893788
Teresa Murphy,Bradley Brooks,0.33843148
Teresa Murphy,Jasmine Burke,0.34955928
Teresa Murphy,Ebony Collins,0.33769703
Teresa Murphy,Tesha Thiel,0.19244957
Teresa Murphy,Audrea Belanger,0.19866164
Richard Hernandez,Bernard Mcbride,0.110158265
Richard Hernandez,Ellen Huff,0.2706607
Richard Hernandez,Ramona Newman,0.09493509
Richard Hernandez,Ambrose Sampson,0.36395743
Bonnie Gray,Gary Cooper,0.49419257
Bonnie Gray,Ricky Lindsey,0.64701545
Bonnie Gray,Stanley Porter,0.54786247
Bonnie Gray,Toni Spencer,0.2429394
Bruce Flores,Brittny Fanning,0.24968909
Bruce Flores,Edison Boothe,0.40491933
Jacqueline Lopez,Percy Griffith,0.33915785
Jacqueline Lopez,Jacqueline Harvey,0.2621323
Jacqueline Lopez,Jill Greene,0.2326157
Jacqueline Lopez,Ramona Newman,0.44981945
Gary Cooper,Steven Jenkins,0.34577802
Gary Cooper,Larry Phillips,0.28209922
Gary Cooper,Ellen Huff,0.47545972
Gary Cooper,Velma Watson,0.47869983
Gary Cooper,Freda Hardy,0.15656227
Judy Stewart,Bradley Brooks,0.2302905
Susan Ramirez,Anne Nash,0.08773328
Susan Ramirez,Faith Carter,0.25420314
Susan Ramirez,Dorsey Hatcher,0.085118406
Susan Ramirez,Chantelle Graf,0.24639548
Susan Ramirez,Audrea Belanger,0.12177805
Margaret Griffin,Terry Bell,0.3217285
Margaret Griffin,Brenda Patterson,0.22844435
Margaret Griffin,Lorraine Lloyd,0.30905944
Margaret Griffin,Tricia Mcgee,0.38879466
Margaret Griffin,Bernard Mcbride,0.43700606
Margaret Griffin,Jill Greene,0.35046178
Margaret Griffin,Idell Collado,0.20593394
Mark Harris,Steven Jenkins,0.34641883
Mark Harris,Tricia Mcgee,0.27841264
Mark Harris,Grant Mack,0.40344974
Steven Jenkins,Tricia Mcgee,0.15167315
Steven Jenkins,Stanley Porter,0.50228345
Steven Jenkins,Ebony Collins,0.2573847
Terry Bell,Della Fox,0.2537304
Terry Bell,Ramona Fowler,0.3380821
Terry Bell,Gladys Blair,0.24757178
Gustavo Gibson,Garrett Myers,0.13926055
Percy Griffith,Ellen Huff,0.32360277
Percy Griffith,Stanley Porter,0.6626802
Percy Griffith,Gladys Blair,0.23657691
Percy Griffith,Freda Hardy,0.4395216
Percy Griffith,Chantelle Graf,0.48269203
Percy Griffith,Audrea Belanger,0.46589854
Lorraine Lloyd,Ella Hammond,0.31816992
Lorraine Lloyd,Gladys Blair,0.33179554
Garrett Myers,Helena Grice,0.2581568
Garrett Myers,Thao Montero,0.3692913
Jacqueline Harvey,Alonzo Garner,0.5882452
Jacqueline Harvey,Clifford Porter,0.39971596
Jacqueline Harvey,Audrea Belanger,0.3922321
Jacqueline Harvey,Idell Collado,0.32652828
Larry Phillips,Ellen Huff,0.271378
Larry Phillips,Helena Grice,0.10948967
Tricia Mcgee,Jill Greene,0.08148985
Tricia Mcgee,Ebony Collins,0.202644
Tricia Mcgee,Edison Boothe,0.017230704
Tricia Mcgee,Pilar Crowell,0.14178611
Nancy Lloyd,Della Fox,0.23281062
Nancy Lloyd,Brittany Silva,0.07790763
Nancy Lloyd,Pansy Boyle,0.17292409
Nancy Lloyd,Piedad Southerland,0.24820258
Nancy Lloyd,Brittny Fanning,0.27012983
Grant Mack,Velma Watson,0.58226264
Grant Mack,Annemarie Villa,0.48893026
Alonzo Garner,Bernard Mcbride,0.6562948
Bernard Mcbride,Ellen Bishop,0.36952043
Bernard Mcbride,Annemarie Villa,0.3142121
Bernard Mcbride,Ambrose Sampson,0.29304856
Bernard Mcbride,Pilar Crowell,0.39689183
Travis Saunders,Nicolas Romero,0.36812007
Travis Saunders,Melba Long,0.22270396
Desiree Brock,Faith Carter,0.24454226
Desiree Brock,Ellen Bishop,0.30440518
Desiree Brock,Ramona Newman,0.73246896
Anne Nash,Jill Greene,0.12796557
Anne Nash,Ambrose Sampson,0.31894463
Teresa Sullivan,Toni Spencer,0.2472957
Ellen Huff,Nicolas Romero,0.27213046
Ellen Huff,Jill Greene,0.27356204
Glenn Martinez,Gladys Blair,0.31295803
Glenn Martinez,Thao Montero,0.30203915
Glenn Martinez,Aleshia Barham,0.1468127
Ricky Lindsey,Melba Long,0.5741848
Ricky Lindsey,Taina Tubbs,0.3343059
Stanley Porter,Ella Hammond,0.58805
Stanley Porter,Freda Hardy,0.27812967
Stanley Porter,Ebony Collins,0.28517842
Lyle Yates,Jasmine Burke,0.42717022
